材料序号,材料名称,品牌,关键属性,,,,,
WJXLY0016,万嘉8mm铸铝门M5、M6运费(防火门1050×2200),万嘉,,,,,,
WJXLY0017,万嘉8mm铸铝门M5、M6运费(防火门1500×2200),万嘉,,,,,,
WJXLY0018,万嘉8mm铸铝门M5、M6运费(防火门1200×2200),万嘉,,,,,,
HYDX0103,鸿雁PC+青铜人体感应地脚灯,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0001,鸿雁PC+青铜调光开关,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0103,鸿雁PC+青铜调速开关,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0003,"鸿雁PC+青铜轻触延时开关(节能灯,白炽灯,三线制需中性线，不带消防端子)",鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0004,"鸿雁PC+青铜轻触延时开关(四线带消防,接节能灯,白炽灯)",鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0005,"鸿雁PC+青铜声光控开关(节能灯,白炽灯，三线制需中性线，不带消防端子)",鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0006,"鸿雁PC+青铜声光控开关(四线带消防,接白炽灯，节能灯)",鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0007,"鸿雁PC+青铜红外感应开关(节能灯,白炽灯，三线制需中性线，不带消防端子)",鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0008,"鸿雁PC+青铜红外感应开关(四线带消防,接白炽灯，节能灯)",鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0009,鸿雁PC+青铜插座防溅面盖,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0010,鸿雁PC+青铜插座防溅面盖（透明盖）,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0011,鸿雁PC+青铜开关防溅面盖,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0012,鸿雁PC+青铜开关防溅面盖（透明盖）,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0013,鸿雁PC+青铜二、三极地插,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0014,鸿雁PC+青铜电话、电脑地插,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0015,鸿雁PC+青铜地插底盒,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0016,鸿雁PC+青铜25A 440V 三相四线插座,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0017,鸿雁PC+青铜刮须插座,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0018,鸿雁PC+青铜“请勿打扰”门铃开关,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0019,鸿雁PC+青铜“请勿打扰，请即清理”门铃开关,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0020,鸿雁PC+青铜“请勿打扰，请即清理，请稍候”门铃开关,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0021,鸿雁PC+青铜“请勿打扰、请即清理”门后控制开关,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0022,鸿雁PC+青铜一位音箱插座,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0023,鸿雁PC+青铜二位音箱插座,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0024,鸿雁PC+青铜200W声光控开关_两线带集控（仅适用于白炽灯，卤素灯，电子式节能灯/荧光灯）,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0025,鸿雁PC+青铜声光控开关(带零线和集控端),鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0026,鸿雁PC+青铜200W人体感应开关_两线带集控（仅适用于白炽灯，卤素灯，电子式节能灯/荧光灯）,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0027,鸿雁PC+青铜人体感应开关(带零线和集控端),鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0028,鸿雁PC+青铜200W轻触延时开关_两线带集控（仅适用于白炽灯，卤素灯，电子式节能灯/荧光灯）,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0029,鸿雁PC+青铜Wifi面板,鸿雁,品牌#鸿雁电器|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
HYDX0030,鸿雁Q3系列PC+青铜一位单极开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0031,鸿雁Q3系列PC+青铜一位双控开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0032,鸿雁Q3系列PC+青铜二位单极开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0033,鸿雁Q3系列PC+青铜二位双控开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0034,鸿雁Q3系列PC+青铜三位单极开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0035,鸿雁Q3系列PC+青铜三位双控开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0036,鸿雁Q3系列PC+青铜四位单极开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0037,鸿雁Q3系列PC+青铜四位双控开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0038,鸿雁Q3系列PC+青铜一位单极带荧光开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0039,鸿雁Q3系列PC+青铜一位双控带荧光开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0040,鸿雁Q3系列PC+青铜二位单极带荧光开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0041,鸿雁Q3系列PC+青铜二位双控带荧光开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0042,鸿雁Q3系列PC+青铜三位单极带荧光开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0043,鸿雁Q3系列PC+青铜三位双控带荧光开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0044,鸿雁Q3系列PC+青铜四位单极带荧光开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0045,鸿雁Q3系列PC+青铜四位双控带荧光开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0046,鸿雁Q3系列PC+青铜一位中途掣开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0047,鸿雁Q3系列PC+青铜二位中途挚开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0048,鸿雁Q3系列PC+青铜门铃开关,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0049,鸿雁Q3系列PC+青铜10A二三插插座,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0050,鸿雁Q3系列PC+青铜10A连体带开关二三插,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0051,鸿雁Q3系列PC+青铜16A带开关三扁插座,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0052,鸿雁Q3系列PC+青铜连体带双控开关二三插,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0053,鸿雁Q3系列PC+青铜10A 三扁插插座,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0054,鸿雁Q3系列PC+青铜二三插带USB充电插座,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0055,鸿雁Q3系列PC+青铜16A 三扁插座,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0056,鸿雁Q3系列PC+青铜双联二扁圆插座,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0057,鸿雁Q3系列PC+青铜感应地脚灯,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0058,鸿雁Q3系列PC+青铜一位电脑插,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0059,鸿雁Q3系列PC+青铜二位电脑插,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0060,鸿雁Q3系列PC+青铜电脑电视插,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0061,鸿雁Q3系列PC+青铜呼叫开关(报警开关),鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0062,鸿雁Q3系列PC+青铜一位电话插,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0063,鸿雁Q3系列PC+青铜二位电话插,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0064,鸿雁Q3系列PC+青铜电话电脑插,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0065,鸿雁Q3系列PC+青铜电话电视插,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0066,鸿雁Q3系列PC+青铜一位电视插,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0067,鸿雁Q3系列PC+青铜空白面板,鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0068,鸿雁Q3系列PC+青铜二位联体面板(边框),鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0069,鸿雁Q3系列PC+青铜三位联体面板(边框),鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0070,鸿雁Q3系列PC+青铜四位联体面板(边框),鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0071,鸿雁Q3系列PC+青铜五位联体面板(边框),鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0072,鸿雁Q3系列PC+青铜二位联体面板(边框颜色更换),鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0073,鸿雁Q3系列PC+青铜三位联体面板(边框颜色更换),鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0074,鸿雁Q3系列PC+青铜四位联体面板(边框颜色更换),鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0075,鸿雁Q3系列PC+青铜五位联体面板(边框颜色更换),鸿雁,品牌#鸿雁电器|产品系列#Q3系列|产品材质#PC+青铜,,,,,
HYDX0076,鸿雁X3系列PC+青铜一位单极开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0077,鸿雁X3系列PC+青铜一位双控开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0078,鸿雁X3系列PC+青铜二位单极开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0079,鸿雁X3系列PC+青铜二位双控开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0080,鸿雁X3系列PC+青铜三位单极开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0081,鸿雁X3系列PC+青铜三位双控开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0082,鸿雁X3系列PC+青铜四位单极开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0083,鸿雁X3系列PC+青铜四位双控开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0084,鸿雁X3系列PC+青铜一位中途掣开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0085,鸿雁X3系列PC+青铜二位中途挚开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0086,鸿雁X3系列PC+青铜门铃开关,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0087,鸿雁X3系列PC+青铜10A二三插插座,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0088,鸿雁X3系列PC+青铜10A 带开关三扁插座,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0089,鸿雁X3系列PC+青铜连体带开关二三插,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0090,鸿雁X3系列PC+青铜16A带开关三扁插座,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0091,鸿雁X3系列PC+青铜连体带双控开关二三插,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0092,鸿雁X3系列PC+青铜10A 三扁插插座,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0093,鸿雁X3系列PC+青铜16A 三扁插座,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0094,鸿雁X3系列PC+青铜双联二扁圆插座,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0095,鸿雁X3系列PC+青铜一位电脑插,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0096,鸿雁X3系列PC+青铜二位电脑插,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0097,鸿雁X3系列PC+青铜电脑电视插,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0098,鸿雁X3系列PC+青铜一位电话插,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0099,鸿雁X3系列PC+青铜电话电脑插,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0100,鸿雁X3系列PC+青铜电话电视插,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0101,鸿雁X3系列PC+青铜一位电视插,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
HYDX0102,鸿雁X3系列PC+青铜空白面板,鸿雁,品牌#鸿雁电器|产品系列#X3系列|产品材质#PC+青铜,,,,,
LGLDX0129,罗格朗逸景系列PC+青铜声光控开关_两线带集控,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0130,罗格朗逸景系列PC+青铜声光控开关_带零线和集控端,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0131,罗格朗逸景系列PC+青铜人体感应开关_两线带集控,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0132,罗格朗逸景系列PC+青铜人体感应开关_带零线和集控端,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0133,罗格朗美点系列PC+青铜声光控开关_两线带集控,罗格朗,品牌#罗格朗|产品系列#美点系列|产品材质#PC+青铜,,,,,
LGLDX0134,罗格朗美点系列PC+青铜声光控开关(带零线和集控端),罗格朗,品牌#罗格朗|产品系列#美点系列|产品材质#PC+青铜,,,,,
LGLDX0135,罗格朗美点系列PC+青铜人体感应开关_两线带集控,罗格朗,品牌#罗格朗|产品系列#美点系列|产品材质#PC+青铜,,,,,
LGLDX0136,罗格朗美点系列PC+青铜人体感应开关(带零线和集控端),罗格朗,品牌#罗格朗|产品系列#美点系列|产品材质#PC+青铜,,,,,
LGLDX0001,罗格朗PC+青铜调光开关,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0002,罗格朗PC+青铜调速开关,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0003,"罗格朗PC+青铜轻触延时开关(节能灯,白炽灯,三线制需中性线，不带消防端子)",罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0004,"罗格朗PC+青铜轻触延时开关(四线带消防,接节能灯,白炽灯)",罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0005,"罗格朗PC+青铜声光控开关(节能灯,白炽灯，三线制需中性线，不带消防端子)",罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0006,"罗格朗PC+青铜声光控开关(四线带消防,接白炽灯，节能灯)",罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0007,"罗格朗PC+青铜红外感应开关(节能灯,白炽灯，三线制需中性线，不带消防端子)",罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0008,"罗格朗PC+青铜红外感应开关(四线带消防,接白炽灯，节能灯)",罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0009,罗格朗PC+青铜插座防溅面盖,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0010,罗格朗PC+青铜插座防溅面盖（透明盖）,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0011,罗格朗PC+青铜开关防溅面盖,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0012,罗格朗PC+青铜开关防溅面盖（透明盖）,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0013,罗格朗PC+青铜二、三极地插,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0014,罗格朗PC+青铜电话、电脑地插,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0015,罗格朗PC+青铜地插底盒,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0016,罗格朗PC+青铜25A 440V 三相四线插座,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0017,罗格朗PC+青铜刮须插座,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0018,罗格朗PC+青铜带延时带指示灯插卡节能开关,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0019,罗格朗PC+青铜“请勿打扰”门铃开关,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0020,罗格朗PC+青铜“请勿打扰，请即清理”门铃开关,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0021,罗格朗PC+青铜“请勿打扰，请即清理，请稍候”门铃开关,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0022,罗格朗PC+青铜“请勿打扰、请即清理”门后控制开关,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0023,罗格朗PC+青铜音量调节开关(定压),罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0024,罗格朗PC+青铜音量调节开关(定阻),罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0025,罗格朗PC+青铜一位音箱插座,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0026,罗格朗PC+青铜二位音箱插座,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0027,罗格朗PC+青铜200W声光控开关_两线带集控（仅适用于白炽灯，卤素灯，电子式节能灯/荧光灯）,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0028,罗格朗PC+青铜声光控开关(带零线和集控端),罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0029,罗格朗PC+青铜200W人体感应开关_两线带集控（仅适用于白炽灯，卤素灯，电子式节能灯/荧光灯）,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0030,罗格朗PC+青铜人体感应开关(带零线和集控端),罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0031,罗格朗PC+青铜200W轻触延时开关_两线带集控（仅适用于白炽灯，卤素灯，电子式节能灯/荧光灯）,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0032,罗格朗PC+青铜Wifi面板,罗格朗,品牌#罗格朗|产品系列#公用区域类及通用产品|产品材质#PC+青铜,,,,,
LGLDX0033,罗格朗逸景系列PC+青铜一位大跷板单极开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0034,罗格朗逸景系列PC+青铜一位大跷板双控开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0035,罗格朗逸景系列PC+青铜二位大跷板单极开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0036,罗格朗逸景系列PC+青铜二位大跷板双控开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0037,罗格朗逸景系列PC+青铜三位大跷板单极开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0038,罗格朗逸景系列PC+青铜三位大跷板双控开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0039,罗格朗逸景系列PC+青铜四位大跷板单极开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0040,罗格朗逸景系列PC+青铜四位大跷板双控开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0041,罗格朗逸景系列PC+青铜一位大跷板单极带灯开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0042,罗格朗逸景系列PC+青铜一位大跷板双控带灯开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0043,罗格朗逸景系列PC+青铜二位大跷板单极带灯开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0044,罗格朗逸景系列PC+青铜二位大跷板双控带灯开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0045,罗格朗逸景系列PC+青铜三位大跷板单极带灯开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0046,罗格朗逸景系列PC+青铜三位大跷板双控带灯开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0047,罗格朗逸景系列PC+青铜四位大跷板单极带灯开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0048,罗格朗逸景系列PC+青铜四位大跷板双控带灯开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0049,罗格朗逸景系列PC+青铜一位中途掣开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0050,罗格朗逸景系列PC+青铜二位中途挚开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0051,罗格朗逸景系列PC+青铜门铃开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0052,罗格朗逸景系列PC+青铜一位20AX双极开关,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0053,罗格朗逸景系列PC+青铜10A二三插插座,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0054,罗格朗逸景系列PC+青铜10A 带开关三扁插座,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0055,罗格朗逸景系列PC+青铜10A连体带开关二三插,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0056,罗格朗逸景系列PC+青铜16A带开关三扁插座,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0057,罗格朗逸景系列PC+青铜连体带双控开关二三插,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0058,罗格朗逸景系列PC+青铜10A 三扁插插座,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
LGLDX0059,罗格朗逸景系列PC+青铜二三插带USB充电插座,罗格朗,品牌#罗格朗|产品系列#逸景系列|产品材质#PC+青铜,,,,,
